time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-17 00:00:00+00:00,4.0,2.0,2,1
2023-03-18 00:00:00+00:00,1.0,1.0,19,3
2023-03-19 00:00:00+00:00,2.0,2.0,17,8
2023-03-20 00:00:00+00:00,2.0,2.0,29,14
2023-03-21 00:00:00+00:00,1.0,1.0,20,5
2023-03-22 00:00:00+00:00,1.0,1.0,6,2
2023-03-23 00:00:00+00:00,1.0,1.0,50,11
2023-03-24 00:00:00+00:00,1.0,1.0,15,4
2023-03-25 00:00:00+00:00,,,11,4
2023-03-26 00:00:00+00:00,,,7,3
2023-03-27 00:00:00+00:00,,,33,15
2023-03-28 00:00:00+00:00,2.0,2.0,139,11
2023-03-29 00:00:00+00:00,,,10,2
2023-03-30 00:00:00+00:00,1.0,1.0,6,3
2023-03-31 00:00:00+00:00,11.0,7.0,35,3
