url_path,views_total,views_unique
/weanalyze/workcell/tree/main/examples,7,2
/weanalyze/workcell/blob/main/README_zh-hans.md,7,1
/weanalyze/workcell,4,4
/weanalyze/workcell/tree/main/docs,4,1
/weanalyze/workcell/tree/main/examples/hello_workcell,4,1
/weanalyze/workcell/tree/main/examples/showcase_components,3,1
/weanalyze/workcell/blob/main/examples/hello_workcell/app.py,2,1
/weanalyze/workcell/blob/main/examples/hello_workcell/requirements.txt,2,1
/weanalyze/workcell/blob/main/examples/showcase_components/app.py,2,1
/weanalyze/workcell/blob/main/pyproject.toml,2,1
