time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-19 00:00:00+00:00,12,10,100,8
2023-01-20 00:00:00+00:00,14,8,110,2
2023-01-21 00:00:00+00:00,31,13,226,3
2023-01-22 00:00:00+00:00,60,14,244,1
2023-01-23 00:00:00+00:00,6,4,19,1
2023-01-24 00:00:00+00:00,56,12,113,2
2023-01-25 00:00:00+00:00,0,0,4,1
2023-01-28 00:00:00+00:00,0,0,21,4
2023-01-29 00:00:00+00:00,0,0,3,2
2023-01-30 00:00:00+00:00,1,1,4,1
2023-01-31 00:00:00+00:00,0,0,13,4
2023-02-01 00:00:00+00:00,0,0,1,1
2023-02-02 00:00:00+00:00,23,5,26,1
2023-02-03 00:00:00+00:00,2,2,1,1
2023-02-04 00:00:00+00:00,1,1,0,0
2023-02-05 00:00:00+00:00,0,0,8,1
2023-02-06 00:00:00+00:00,1,1,16,3
2023-02-07 00:00:00+00:00,0,0,30,4
2023-02-08 00:00:00+00:00,1,1,5,1
2023-02-09 00:00:00+00:00,1,1,7,1
2023-02-11 00:00:00+00:00,0,0,8,3
2023-02-12 00:00:00+00:00,39,4,33,1
2023-02-13 00:00:00+00:00,53,8,64,3
2023-02-14 00:00:00+00:00,54,7,63,1
2023-02-15 00:00:00+00:00,5,4,31,5
2023-02-16 00:00:00+00:00,1,1,8,2
2023-02-17 00:00:00+00:00,0,0,26,6
2023-02-20 00:00:00+00:00,1,1,0,0
2023-02-21 00:00:00+00:00,0,0,2,1
2023-02-22 00:00:00+00:00,0,0,4,1
2023-02-23 00:00:00+00:00,1,1,3,2
2023-02-24 00:00:00+00:00,0,0,21,3
2023-02-25 00:00:00+00:00,0,0,28,8
2023-02-27 00:00:00+00:00,1,1,10,4
2023-02-28 00:00:00+00:00,0,0,8,2
2023-03-01 00:00:00+00:00,0,0,6,2
2023-03-02 00:00:00+00:00,3,2,9,1
2023-03-03 00:00:00+00:00,0,0,2,2
2023-03-04 00:00:00+00:00,1,1,5,1
2023-03-05 00:00:00+00:00,0,0,22,3
2023-03-06 00:00:00+00:00,0,0,1,1
2023-03-07 00:00:00+00:00,0,0,25,6
2023-03-08 00:00:00+00:00,23,7,45,5
2023-03-09 00:00:00+00:00,0,0,9,3
2023-03-10 00:00:00+00:00,40,4,33,5
2023-03-11 00:00:00+00:00,6,3,29,1
2023-03-12 00:00:00+00:00,0,0,5,2
2023-03-13 00:00:00+00:00,20,8,58,1
2023-03-14 00:00:00+00:00,4,4,35,10
2023-03-15 00:00:00+00:00,3,1,62,18
2023-03-16 00:00:00+00:00,8,5,17,8
2023-03-17 00:00:00+00:00,8,5,28,7
2023-03-18 00:00:00+00:00,1,1,19,3
2023-03-19 00:00:00+00:00,2,2,17,8
2023-03-20 00:00:00+00:00,2,2,29,14
2023-03-21 00:00:00+00:00,1,1,20,5
2023-03-22 00:00:00+00:00,1,1,6,2
2023-03-23 00:00:00+00:00,1,1,50,11
2023-03-24 00:00:00+00:00,1,1,15,4
2023-03-25 00:00:00+00:00,0,0,11,4
2023-03-26 00:00:00+00:00,0,0,7,3
2023-03-27 00:00:00+00:00,0,0,33,15
2023-03-28 00:00:00+00:00,2,2,139,11
2023-03-29 00:00:00+00:00,0,0,10,2
2023-03-30 00:00:00+00:00,1,1,6,3
2023-03-31 00:00:00+00:00,11,7,37,4
2023-04-01 00:00:00+00:00,38,8,74,8
2023-04-02 00:00:00+00:00,0,0,31,8
2023-04-03 00:00:00+00:00,0,0,27,9
2023-04-04 00:00:00+00:00,0,0,10,6
2023-04-05 00:00:00+00:00,0,0,11,3
2023-04-06 00:00:00+00:00,0,0,11,5
2023-04-07 00:00:00+00:00,0,0,11,7
